date,1month,3month,6month,1year,2year,3year,5year,7year,10year,20year,30year
2024-04-01,5.49,5.42,5.39,5.16,4.97,4.81,4.66,4.65,4.62,4.84,4.72
2024-03-01,5.51,5.47,5.36,4.99,4.59,4.38,4.2,4.21,4.21,4.46,4.36
2024-02-01,5.49,5.44,5.28,4.92,4.54,4.33,4.19,4.21,4.21,4.49,4.38
2024-01-01,5.54,5.45,5.21,4.79,4.32,4.11,3.98,4.03,4.06,4.39,4.26
2023-12-01,5.54,5.44,5.34,4.96,4.46,4.19,4,4.04,4.02,4.32,4.14
2023-11-01,5.53,5.52,5.44,5.28,4.88,4.64,4.49,4.53,4.5,4.84,4.66
2023-10-01,5.57,5.6,5.57,5.42,5.07,4.89,4.77,4.82,4.8,5.13,4.95
2023-09-01,5.49,5.46,5.4,5.27,4.99,4.78,4.64,4.66,4.65,4.88,4.78
2023-08-01,5.53,5.56,5.51,5.44,5.02,4.74,4.49,4.46,4.38,4.65,4.47
2023-07-01,5.54,5.56,5.54,5.37,4.9,4.59,4.31,4.26,4.17,4.46,4.28
2023-06-01,5.39,5.49,5.53,5.37,4.83,4.47,4.14,4.03,3.9,4.15,3.96
2023-05-01,5.2,5.42,5.42,5.24,4.64,4.27,3.95,3.85,3.75,4.04,3.87
2023-04-01,5.49,5.31,5.27,4.91,4.13,3.82,3.59,3.58,3.57,3.96,3.86
2023-03-01,4.17,5.07,4.99,4.68,4.02,3.76,3.54,3.5,3.46,3.8,3.68
2023-02-01,4.49,4.86,4.99,4.68,4.3,4.09,3.82,3.77,3.66,3.94,3.77
2023-01-01,4.64,4.79,4.97,4.93,4.53,4.23,3.94,3.86,3.75,3.95,3.8
2022-12-01,4.52,4.69,4.8,4.69,4.21,3.91,3.64,3.59,3.53,3.81,3.66
2022-11-01,3.9,4.36,4.71,4.68,4.29,4.05,3.76,3.72,3.62,3.87,3.66
2022-10-01,3.87,4.32,4.61,4.73,4.5,4.34,4.06,3.99,3.89,4.22,4.00
2022-09-01,3.32,3.87,4.31,4.43,4.38,4.38,4.18,4.09,3.98,4.28,4.04
2022-08-01,3.12,3.55,3.65,4.38,4.12,4.13,3.58,4.07,3.75,3.68,4.00
2022-07-01,2.61,3.22,3.71,3.89,3.86,3.88,3.7,3.64,3.52,3.82,3.56
2022-06-01,2.28,2.72,3.15,3.28,3.25,3.23,3.03,2.98,2.9,3.35,3.13
2022-05-01,3.10,3.54,3.84,4.11,3.89,3.80,3.46,3.59,3.42,3.63,3.60
2022-04-01,2.66,3.16,3.57,3.76,3.67,3.64,3.40,3.40,3.28,3.60,3.43
2022-03-01,2.69,3.13,3.49,3.70,3.57,3.52,3.24,3.28,3.16,3.49,3.36
2022-02-01,2.87,3.38,3.68,4.13,3.99,4.01,3.64,3.85,3.64,3.75,3.78
2022-01-01,2.45,2.97,3.43,3.59,3.56,3.56,3.37,3.31,3.21,3.59,3.35